A,C,X,Y,Z
0.0,0.0,0.0,0.0,0.0
0.5013927576601671,1.0027855153203342,5.039929249051056e-06,0.004359339597206802,-0.0018517761927336965
1.0027855153203342,2.0055710306406684,1.007831474453269e-05,0.008686192861468989,-0.0037408556935457637
1.5041782729805016,3.008356545961003,1.5113613130779413e-05,0.012980261688493755,-0.005666250131827533
2.0055710306406684,4.011142061281337,2.0144282103728983e-05,0.017241272620308834,-0.007626969519309246
2.5069637883008355,5.013927576601671,2.5168780695139503e-05,0.02146897682805715,-0.009622022906531247
3.008356545961003,6.016713091922006,3.0185569869445317e-05,0.02566315007762654,-0.01165041903818631
3.5097493036211698,7.0194986072423395,3.519311292166094e-05,0.029823592678265953,-0.013711167006883462
4.011142061281337,8.022284122562674,4.0189875988971835e-05,0.03395012941414066,-0.015803276904888364
4.5125348189415035,9.025069637883007,4.517432856232517e-05,0.03804260945893034,-0.017925760473388674
5.013927576601671,10.027855153203342,5.014494382749035e-05,0.042100906273518035,-0.020077631748839586
5.515320334261839,11.030640668523677,5.5100199233493186e-05,0.04612491748694225,-0.022257907705954594
6.016713091922006,12.033426183844012,6.003857697578496e-05,0.05011456476059806,-0.024465608896888646
6.518105849582172,13.036211699164344,6.495856433730296e-05,0.05406979363583986,-0.026699760086192903
7.0194986072423395,14.038997214484679,6.985865434216976e-05,0.057990573365124476,-0.02895939088107813
7.520891364902507,15.041782729805014,7.473734598306692e-05,0.061876896726822395,-0.031243536356592827
8.022284122562674,16.044568245125348,7.9593144903356e-05,0.06572877982384995,-0.033551237675260914
8.52367688022284,17.04735376044568,8.442456373813911e-05,0.0695462618661864,-0.035881542700769486
9.025069637883007,18.050139275766014,8.923012254058449e-05,0.07332940493757434,-0.03823350660527147
9.526462395543176,19.05292479108635,9.400834937878244e-05,0.07707829374650998,-0.04060619246990527
10.027855153203342,20.055710306406684,9.875778061996243e-05,0.0807930353618076,-0.042998671878113015
10.529247910863509,21.058495821727018,0.00010347696147050556,0.0844737589325888,-0.04541002550137385
11.030640668523677,22.061281337047355,0.00010816444637384848,0.08812061539343574,-0.04783934367688758
11.532033426183846,23.06406685236769,0.00011281879952207419,0.09173377715454478,-0.050285726976918355
12.033426183844012,24.066852367688025,0.00011743859528223766,0.09531343777733525,-0.052748286769293884
12.534818941504177,25.069637883008355,0.00012202241853742635,0.09885981163532165,-0.05522614576880258
13.036211699164344,26.072423398328688,0.0001265688652267727,0.10237313356120126,-0.05771843857897707
13.537604456824512,27.075208913649025,0.000131076542743358,0.10585365847991568,-0.06022431222401892
14.038997214484679,28.077994428969358,0.00013554407033211646,0.10930166102781413,-0.06274292667042758
14.540389972144848,29.080779944289695,0.0001399700795445824,0.11271743515882804,-0.06527345533802631
15.041782729805014,30.08356545961003,0.000144353214665216,0.11610129373734424,-0.06781508559997818
15.543175487465183,31.086350974930365,0.00014869213310930718,0.11945356811841634,-0.07036701927148314
16.044568245125348,32.089136490250695,0.00015298550579245784,0.12277460771537108,-0.07292847308690398
16.545961002785514,33.09192200557103,0.00015723201767059436,0.12606477955532114,-0.07549867916483421
17.04735376044568,34.09470752089136,0.00016143036793891952,0.1293244678228973,-0.07807688546094482
17.548746518105848,35.097493036211695,0.00016557927062876843,0.13255407339239866,-0.08066235620819384
18.050139275766014,36.10027855153203,0.00016967745492024733,0.13575401334878734,-0.08325437234417876
18.551532033426184,37.10306406685237,0.0001737236654832941,0.13892472049782612,-0.08585223192535096
19.05292479108635,38.1058495821727,0.0001777166629040039,0.14206664286582793,-0.08845525052765879
19.554317548746518,39.108635097493035,0.0001816552241109548,0.14518024318918776,-0.0910627616336015
20.055710306406684,40.11142061281337,0.00018553814271626834,0.14826599839427956,-0.09367411700524286
20.55710306406685,41.1142061281337,0.00018936422929982655,0.15132439906787454,-0.09628868704294291
